Dulal Kar,Professor,Signal Processing + Image Processing + Network Architecture + Network Performance Measurement + Network Security + Information Security + Information Retrieval + Educational Technology
Tianxing Chu,Associate Professor,Knowledge Discovery + Remote Sensing + Geospatial Analysis + Sea-Level Change + Land Deformation
Kadir Alpaslan Demir,Assistant Professional Professor,Generative AI for Software + Software Engineering + ArtificiaI Intelligence + Human-Robot Co-working
Alihan Hadimlioglu,Assistant Professional Professor in Computer Science,3D Environment Reconstruction + Computational Fluid Dynamics + Geographical Information Systems
Mahboobeh Haghparast,Assistant Professional Professor,Information Science + Information System 
Seneca Holland,Program Coordinator and Instructor,GIS + Cartography + Water Resources
Lucy Huang,Professor,Geospatial Semantic Web + Ontology Engineering + Semantic Interoperability + Internet GIS + Agent-Based Modeling + Simulation
Minhua Huang,Associate Professional Professor,Machine Learning + NLP + Data Mining
Taoran Ji,Assistant Professor,Machine Learning + Event Detection + Time-Series Forecasting + Impact Analysis + Natural Language Processing
Scott King,Professor,Computer Graphics + Facial Animation + 3D Modeling + Real-Time Rendering + Scientific Visualization + Human-Computer Interaction
Huyen Le,Assistant Professional Professor,Computational Social Science + Social Media Analysis + Text Mining + Health Analytics + Applied Machine Learning
Bozhen Liu,Assistant Professor,Incremental Analysis + Program Analysis + Software Engineering for AI + AI for Software Engineering
Zhihui Liu,Assistant Professional Professor,NLP + Computer Vision + Deep Learning
Ahmed Mahdy,Professor,Wireless Networking + Innovative Computing + Software Engineering
Antonio Medrano,Assistant Professor,Spatial Optimization + High-Performance Computing + Geospatial Algorithms
Carlos Rubio Medrano,Assistant Professor,Cybersecurity + Software Specification + Verification + Validation
Chandra N. Sekharan,Professor,Graph algorithms + Data Compression + Machine Learning
Habib Senol,Assistant Professional Professor,AI + Machine Learning 
Hongzhi Song,Associate Professional Professor,Coastal Geophysics + Data Fusion + Geospatial Analysis
Mehdi Sookhak,Associate Professor,Cloud Computing + Edge Computing + Fog Computing + Distributed Systems + Network Security + Wireless Sensor Networks + VANET + UAV Networks + SDN + Deep Learning + Distributed Learning + Cybersecurity Applications + GIS Applications + Remote Sensing Applications
Michael Starek,Professor,Geomatics + Remote Sensing + Geospatial Computing + LiDAR + Autonomous Sensing + UAS + Photogrammetry + Machine Learning + GIS
Wenlu Wang,Assistant Professor,AI for Science
Mamta Yadav,Associate Professional Professor,Graph Theory + Mobile Programming
Bridget A Brundrett,Adjunct Faculty,Cadastral Systems
Lewis Heuermann,Adjunct Faculty,IoT + Zero Trust + Cybersecurity

